split,model,seed,accuracy,precision,recall,f1,positive_rate_pred,positive_rate_true,n_samples,threshold,coverage,auc
test_cost,RF,0,0.79,0.9711538461538461,0.7214285714285714,0.8278688524590164,0.52,0.7,400,0.4,1.0,0.8539583333333333
test_cost,RF,1,0.7875,0.9620853080568721,0.725,0.8268839103869654,0.5275,0.7,400,0.38,1.0,0.8494940476190477
test_cost,RF,2,0.7875,0.9620853080568721,0.725,0.8268839103869654,0.5275,0.7,400,0.38,1.0,0.8672619047619048
test_cost,RF,3,0.7875,0.9577464788732394,0.7285714285714285,0.8275862068965517,0.5325,0.7,400,0.38,1.0,0.8563541666666667
test_cost,RF,4,0.78,0.9444444444444444,0.7285714285714285,0.8225806451612904,0.54,0.7,400,0.36000000000000004,1.0,0.8549404761904763
test_cost,RF,5,0.7825,0.9530516431924883,0.725,0.8235294117647058,0.5325,0.7,400,0.36000000000000004,1.0,0.8534970238095239
test_cost,RF,6,0.7875,0.9493087557603687,0.7357142857142858,0.8289738430583501,0.5425,0.7,400,0.36000000000000004,1.0,0.8608333333333333
test_cost,RF,7,0.7875,0.9620853080568721,0.725,0.8268839103869654,0.5275,0.7,400,0.38,1.0,0.8573065476190476
test_cost,RF,8,0.78,0.9403669724770642,0.7321428571428571,0.8232931726907631,0.545,0.7,400,0.36000000000000004,1.0,0.8565624999999999
test_cost,RF,9,0.7875,0.9577464788732394,0.7285714285714285,0.8275862068965517,0.5325,0.7,400,0.38,1.0,0.8599553571428572
test_cost,XGB,0,0.79,0.9495412844036697,0.7392857142857143,0.8313253012048193,0.545,0.7,400,0.32,1.0,0.864702380952381
test_cost,XGB,1,0.7975,0.9585253456221198,0.7428571428571429,0.8370221327967807,0.5425,0.7,400,0.32,1.0,0.8648660714285714
test_cost,XGB,2,0.785,0.9409090909090909,0.7392857142857143,0.828,0.55,0.7,400,0.31,1.0,0.8686904761904762
test_cost,XGB,3,0.79,0.9454545454545454,0.7428571428571429,0.832,0.55,0.7,400,0.29000000000000004,1.0,0.852767857142857
test_cost,XGB,4,0.7925,0.9539170506912442,0.7392857142857143,0.8329979879275654,0.5425,0.7,400,0.32,1.0,0.8598214285714285
test_cost,XGB,5,0.785,0.9490740740740741,0.7321428571428571,0.8266129032258065,0.54,0.7,400,0.32,1.0,0.860595238095238
test_cost,XGB,6,0.7875,0.9493087557603687,0.7357142857142858,0.8289738430583501,0.5425,0.7,400,0.31,1.0,0.8532142857142857
test_cost,XGB,7,0.795,0.95,0.7464285714285714,0.836,0.55,0.7,400,0.3,1.0,0.860625
test_cost,XGB,8,0.7925,0.9497716894977168,0.7428571428571429,0.8336673346693386,0.5475,0.7,400,0.33,1.0,0.8697916666666666
test_cost,XGB,9,0.7925,0.9539170506912442,0.7392857142857143,0.8329979879275654,0.5425,0.7,400,0.31,1.0,0.8638988095238095
test_cost,TCN,0,0.785,0.9254385964912281,0.7535714285714286,0.8307086614173228,0.57,0.7,400,0.01,1.0,0.8696428571428572
test_cost,TCN,1,0.7175,0.9513513513513514,0.6285714285714286,0.7569892473118279,0.4625,0.7,400,0.38,1.0,0.8489285714285714
test_cost,TCN,2,0.78,0.9173913043478261,0.7535714285714286,0.8274509803921568,0.575,0.7,400,0.01,1.0,0.8625595238095238
test_cost,TCN,3,0.7675,0.9605911330049262,0.6964285714285714,0.8074534161490683,0.5075,0.7,400,0.02,1.0,0.8369642857142857
test_cost,TCN,4,0.79,0.9666666666666667,0.725,0.8285714285714286,0.525,0.7,400,0.02,1.0,0.8799702380952381
test_cost,TCN,5,0.765,0.9696969696969697,0.6857142857142857,0.803347280334728,0.495,0.7,400,0.23,1.0,0.8798214285714286
test_cost,TCN,6,0.7275,1.0,0.6107142857142858,0.7583148558758315,0.4275,0.7,400,0.46,1.0,0.8398809523809524
test_cost,TCN,7,0.7325,0.9390862944162437,0.6607142857142857,0.7756813417190775,0.4925,0.7,400,0.04,1.0,0.8416964285714286
test_cost,TCN,8,0.7075,1.0,0.5821428571428572,0.7358916478555305,0.4075,0.7,400,0.27,1.0,0.8206249999999999
test_cost,TCN,9,0.8225,0.986046511627907,0.7571428571428571,0.8565656565656565,0.5375,0.7,400,0.01,1.0,0.88875
